137004086	lakoissa	lakko|lakka	lakka	Liuottimien ja vaarallisten aineiden määrää maaleissa ja	lakoissa	on vähennettävä , mutta siihen tarvitaan suunnitelmaa , joka on mahdollista toteuttaa myös käytännössä .
208268669	silloista	silta|silla	silta	Oletan , ettei kukaan edes Portugalissa - itse asiassa ainakaan Portugalissa - olisi kyennyt valmistautumaan toistuvissa uutislähetyksissä koteihimme lähetettyihin kauhukuviin veden viemistä ihmisistä , sortuvista taloista , romahtavista	silloista	ja koko maiseman muuttumisesta luonnonvoimien toimesta .
3096900	pidetään	pitää|pidetä	pitää	Tästä syystä sosiaalista ja taloudellista ulottuvuutta	pidetään	saman kolikon eri puolina .
76985937	pidettävä	pitää|pidetä	pitää	Jos parlamentti hylkää tämän lisäyksen , sen on	pidettävä	itseään vastuussa seurauksista .
173605005	pidetyssä	pitää|pidetä	pidetä	Kuten tiedätte , ihmisoikeuskysymyksestä keskusteltiin Pekingissä aivan äskettäin	pidetyssä	huippukokouksessa , ja myös yhteisessä julkilausumassa on selkeä viittaus siihen .
232078884	pidetään	pitää|pidetä	pitää	Se johtuu siitä , että olen toiminut useiden yhteisöryhmien , vapaaehtoisryhmien , Leader-yritysten ja kumppanuusyritysten parissa ja todennut itse puhtaan ja täydellisen turhautumisen lukemattomiin sääntöihin , sääntöjen muuttamiseen ohjelman puolivälissä tai kun siitä on kulunut kolme neljäsosaa sekä sääntöjen erilaiseen tulkintaan paikallisella , alueellisella , kansallisella ja EU:n tasolla - ja jokaista rikkomusta	pidetään	virheenä .
99019905	pidettyjen	pitää|pidetä	pitää	Haluaisin vain korostaa yhtä komission ehdotusta , nimittäin Euroopassa vaarallisina	pidettyjen	tuotteiden vientikieltoa kolmansiin maihin .
25873206	faneille	fani|fan	fani	Tämä on lohdutuspalkinto	faneille	, jotka CFO on pettänyt , ja pukuhuoneessa tehty itsekäs sopimus .
25879028	faneille	fani|fan	fani	Haluaisin pyytää , että niille	faneille	, jotka haluavat nähdä oman joukkueensa pelaavan , annettaisiin etusija .
25889042	fanille	fani|fan	fani	Olemme erityisen huolestuneita , ja minä olen erityisen huolestunut kilttipukuisten fanien armeijan jäsenten puolesta , jotka toivovat voivansa tulla Skotlannista ja nähdä Skotlannin pelaavan Brasiliaa vastaan , eikä tavalliselle	fanille	anneta minkäänlaista mahdollisuutta .
76521782	faneihin	fani|fan	fani	Myös huippu-urheilijat voisivat tehdä oman osuutensa ja painottaa sitä selvemmin kuin tähän asti ottamalla etäisyyttä tällaisiin niin sanottuihin	faneihin	.
92605320	hellitään	helliä|hellitä	helliä	Kotieläimiä	hellitään	, mutta maataloudessa karjaa kohdellaan yhä usein julmasti .
213636518	hellitä	helliä|hellitä	helliä	Syöpä on maailmanlaajuinen ongelma , joka lääketieteen edistysaskeleista huolimatta ei	hellitä	.
31064827	hellitään	helliä|hellitä	helliä	Lisäksi siinä	hellitään	ajatusta verotustoimien yhteensovittamisesta saarten hyväksi , vaikka verotus on yksi itsemääräämisoikeuden kulmakivistä .
139180070	hellitä	helliä|hellitä	helliä	” tuskani ei	hellitä	kanssasi eikä ilman sinua .
202523144	hellitä	helliä|hellitä	helliä	Meille jää vielä yksi kritiikin aihe - ja työllisyyden ja sosiaaliasioiden valiokunta ei varmasti	hellitä	tässä asiassa - joka on se , että maksumäärärahoja siirretään selvästi ja järjestelmällisesti Euroopan sosiaalirahastosta , mutta Euroopan globalisaatiorahasto on periaatteessa erillinen ja erityinen väline , jolla on omat tavoitteensa ja määräaikansa .
147048583	Rioja	Ria|Rio	Rioja	Kylmyydestä ja kuivuudesta ovat kärsineet Espanjassa eniten Valencia , Murcia , Andalusia , Aragonia , Kastilia-La Mancha , Katalonia , Estremadura , La	Rioja	viinitarhoineen , Galicia sekä aiemmin mainitsemani Baleaarien saaret .
135246903	kirjoja	kirjo|kirja	kirja	Emme saisi enää yrittää valvoa , mitä ohjelmia ihmiset katsovat , sen enempää kuin valvomme , mitä	kirjoja	he ostavat kirjakaupasta .
62743085	kirjoja	kirjo|kirja	kirja	Siksi on kaiketi itsestäänselvyys , että kirjat eivät ole samanlaisia kauppatavaroita kuin voi , munat ja juusto vaan kulttuurituote , ja siksi	kirjoja	ei voida myöskään tarkastella kilpailuoikeudellisesti voin , munien ja juuston tapaan .
63501024	kirjoista	kirjo|kirja	kirja	Minun ei pitäisi jauhaa	kirjoista	, mutta olen äskettäin lukenut David Landis Barnhillin kirjaa siitä , mikä tekee joistakin maista vauraita ja joistakin vähemmän vauraita , ja on mielenkiintoista nähdä , miten tärkeinä hän pitää tasa-arvokysymyksiä yhteiskuntien taloudellisessa vauraudessa ja poliittisessa vakaudessa vuosituhansien saatossa .
86017197	kirjoja	kirjo|kirja	kirja	” Mutta miksei meillä voisi olla myös sähköistä järjestelmää , jolla luettaisiin	kirjoja	niitä varten , joilla on huono näkö ja jotka eivät voi itse lukea ?
86018053	kirjojen	kirjo|kirja	kirja	Mielestämme on tärkeää myös lujittaa toiminnallisen luku- ja kirjoitushäiriön torjuntatyötä ja edistää kansalaisten herkistymistä	kirjojen	ja sähköisen julkaisemisen merkitykselle , ja aivan varmasti käy välttämättömäksi kehittää tekniikoita alkuperän aitouden ja tekijänoikeuksien suojaamiseksi , etenkin tekijöiden oikeuden saada tietää , milloin heidän töitään käytetään .
124224713	luoteihin	luoti|luode	luoti	Kuinka kauan vielä palestiinalaiset lapset kuolevat	luoteihin	, itsemurhapommit tappavat Israelin kansalaisia , Venäjän sotilaat tappavat Tšetšenian väestöä ja Yhdysvallat tappavat ihmisiä siellä , missä se on maan kuvitellun edun mukaista , ja niin edelleen ?
142187856	luoteihin	luoti|luode	luoti	Tällä hetkellä palestiinalaisia kuolee kuitenkin edelleen miehitysarmeijan	luoteihin	.
168367070	luoteihin	luoti|luode	luoti	Yli 22 000 Puolan älymystöön kuulunutta henkilöä menehtyi kotimaatani monien pitkien vuosien ajan miehittäneiden neuvostoliittolaisten ampumiin	luoteihin	.
234279190	luoteihin	luoti|luode	luoti	He kuolivat	luoteihin	tai murskautuivat panssariajoneuvojen alle .
83450962	luoteihin	luoti|luode	luoti	En voisi lopettaa puheenvuoroani kunnioittamatta niiden satojen ihmisten muistoa , jotka ovat menehtyneet murhaajiensa	luoteihin	.
133487117	pakoilla	pakka|pakko	pakoilla	Kun ajatellaan tekniikkaa , jolla ihmiset voivat manipuloida geenejä , toisin sanoa puuttua elämän keskeiseen sisältöön , on tärkeää , että tätä pohditaan yhteiskunnassa ja ettei	pakoilla	eettistä keskustelua .
77835300	pakkoja	pakka|pakko	pakko	Ehdokasvaltiot liittyvät ensin Euroopan talousalueeseen , jossa ne voivat yhteensovittaa taloutensa EU:n talouteen ilman poliittisia sitoumuksia ja	pakkoja	.
16299486	pakkoja	pakka|pakko	pakko	joitakin taloudellisia	pakkoja	, kuten esimerkiksi korvausten maksaminen , ja muita siviililuontoisia kysymyksiä , jotka koskevat juuri näitä eläinkuljetuksia .
22651394	pakoillaan	pakka|pakko	pakoilla	Ehkä meidän täytyy olla tyytyväisiä siihen , että olemme saaneet puhua näinkin kauan tilanteesta , jonka toivoisi jo kuuluvan menneisyyteen , mutta jonka todellisuus ja sietokynnyksen ylittyminen pakottavat tuomaan julkisuuteen ja kasvojen eteen siitäkin huolimatta , että komissiossa ja parlamentissa sitä ehkä	pakoillaan	ja että neuvosto yrittää kiusaantuneena työntää koko asian mielestään .
38612587	pakkojen	pakka|pakko	pakko	Siitä tulee vaikea myös siksi , että vaikka kyseessä on viimeinen vuoden 1994 rahoitusnäkymiin ja toimielinten väliseen sopimukseen perustuva talousarvio , tehtävänämme on ennakoida tulevien talousarvioiden yleiset piirteet ja päästä taloudellisten	pakkojen	yli , jolloin vaarana on se , että joudumme luopumaan kaikesta kunnianhimosta .
80903483	sillan	silla|silta	silta	Jos hyväksytyt sitoumukset on annettu tosissaan , miksei sitouduta välineisiin , jotka auttavat täyttämään sitoumukset , varsinkin kun rakensin valiokunnan tuella neuvostolle tai jäsenvaltioille	sillan	sitä varten ?
144161918	sillan	silla|silta	silta	Nyt on tärkeää , että Ukrainan presidentti yhdistää kansankunnan ja pyrkii elvyttämään sitä historiallista merkitystä , joka Ukrainalla on aina ollut Euroopassa , tehdäkseen siitä tärkeän	sillan	Euroopan unionin ja Venäjän välillä .
65221595	sillat	silla|silta	silta	On selvää , että liikumme tässä yhteydessä eräänlaisella harmaalla vyöhykkeellä , ja varmaankin teidän mielestänne	sillat	sekä maantie- ja rautatieinfrastruktuurit ovat siviilikohteita , kun taas monet muut pitävät niitä sotilaskohteina , koska ne tarjoavat tukea sotilasinfrastruktuureille ja siten mahdollistavat juuri sellaiset vihamieliset toimet , joita Miloeviæin joukot tuolloin toteuttivat Kosovossa .
165314375	sillasta	silla|silta	silta	Viimeisimpien tietojemme mukaan asiantuntijatasolla on tänään keskusteltu	sillasta	ja Viron kautta tapahtuvia öljykuljetuksia on jatkettu .
84233402	sillan	silla|silta	silta	Olemme nyt saaneet Kööpenhaminan ja Malmön välille	sillan	, ja kaikki olettavat , että rajojen ylittäminen lisääntyy voimakkaasti ja että näistä kahdesta kaupungista muodostuu suurkaupunkialue .
190298500	vaalivuosi	vaali#vuo|vaali#vuosi	vaali#vuosi	Arvoisa puhemies , haastava vuosi ,	vaalivuosi	ja taloudellinen kriisi päällä .
43122617	vaalivuosi	vaali#vuo|vaali#vuosi	vaali#vuosi	Onhan vuosi 1999 tärkeä	vaalivuosi	, jolloin kansalaiset odottavat nykyisiltä poliittisilta voimilta ja komissiolta selviä viestejä voidakseen tehdä päätöksensä .
116414561	maatalousylijäämien	maa#talous#yli#jäämä|maa#talous#yli#jäämi	maa#talous#yli#jäämä	Komissio ehdottaa pakollisten tarkastusten vähimmäismäärän vähentämistä kaupallisissa ja teollisissa yrityksistä , joille on maksettu maataloustukea yhteisön talousarviosta	maatalousylijäämien	poistamiseksi sisämarkkinoilta tai muista syistä .
43076989	maatalousylijäämien	maa#talous#yli#jäämä|maa#talous#yli#jäämi	maa#talous#yli#jäämä	Niinpä parlamentista itsestään tulee hampaaton , kun se tulevaisuudessa etsii syyllisiä EU:n	maatalousylijäämien	markkinoimiseksi annetun avun väärinkäytöksiin .
238959976	viroissa	virka|viro	virka	Entistä pääministeriä Julija Tymošenkoa ja joitakin hänen johtamansa entisen hallituksen jäseniä syytetään nyt tuomioistuimissa rikoksista , joihin he ovat väitetysti syyllistyneet kyseisissä	viroissa	toimiessaan .
182462705	viroissa	virka|viro	virka	Valintalautakuntien ei-sitova kiintiötavoite , jonka mukaan niiden jäsenistä vähintään 40 prosenttia on naisia ja vähintään 40 prosenttia miehiä , on yksi tapa tasoittaa sukupuolten välistä epätasapainoa akateemisissa	viroissa	, mutta tärkeimmäksi on aina katsottava hakijan taidot ja pätevyys .
103082932	viroistaan	virka|viro	virka	Viran nykyinen haltija Wolfgang Petric ei ole epäröinyt erottaa	viroistaan	paikallisia johtajia silloin , kun on ilmennyt heidän vastustaneen rauhansopimuksen täytäntöönpanoa , sen pakolaisia ja siirtymään joutuneita henkilöitä koskeva VII liite mukaan luettuna .
73397687	viroistaan	virka|viro	virka	Heille on määrätty luennointikielto ja heidät on erotettu	viroistaan	muka puutteellisen pätevyyden vuoksi .
100890155	viroissa	virka|viro	virka	Neuvosto ei katso , että 45 vuoden ikäraja olisi itsessään syrjivää rekrytoitaessa virkamiehiä peruspalkkaluokkaan , koska tästä rajasta johtuva erilainen kohtelu on yhtäältä EY:n perustamissopimuksen ja virkamiesten henkilöstösääntöjen mukaista ja toisaalta sille on objektiivia syitä , jotka liittyvät uran käsitteeseen , joka on yhteisön	viroissa	keskeistä .
94562015	kasteihin	kaste|kasti	kasti	Korkeampiin	kasteihin	kuuluvat käyttävät daliteja rutiininomaisesti hyväkseen .
88568591	kasteihin	kaste|kasti	kasti	miten tämä summa jaetaan , ja yltääkö se sitten todella myös seurojen alimpiin	kasteihin	?
98944887	kasteihin	kaste|kasti	kasti	Kun kysytään , mikä on meidän modernin ja avoimen yhteiskuntamme ja jonkin luokkiin ja	kasteihin	jaetun yhteiskunnan välinen ero , vastaus on aivan selvä :
160832920	kasteihin	kaste|kasti	kasti	Myös eri	kasteihin	kuuluvien avioliittoja tuetaan taloudellisilla kannustimilla .
160832851	kasteihin	kaste|kasti	kasti	Kastiton voi tosiasiassa elää turvallisemmin kuin muihin	kasteihin	kuuluva ihminen .
50978392	käyvät	käyvä|käypä	käydä	On siis hyvä , että tietystä alasta vastaavat valiokunnat	käyvät	suoria neuvotteluja budjettivaliokunnan kanssa .
197978887	käyvät	käyvä|käypä	käydä	Juuri lehmäkauppa pitää Barroson kiireisenä , mutta samalla kun hänellä on kiire käydä lehmäkauppaa , muut	käyvät	lehmäkauppaa Kööpenhaminassa .
105475093	käyvän	käyvä|käypä	käydä	Kaksi niistä näyttää minusta	käyvän	yksiin teidän hankkeittenne kanssa , ja rohkenen häpeilemättä sanoa , että kolmas ajatus voisi korjata erään puutteen .
166409746	käyvän	käyvä|käypä	käydä	Mikäli näin käy , saamme jälleen kyyneleitä vuodattaen todeta , ettemme halunneet näin	käyvän	.
233763581	käyvät	käyvä|käypä	käydä	Nyt tekeillä oleva uudistus kuitenkin merkitsee kaikkien pienkalastajien tuhoamista , kaikkien niiden , jotka kuluttavat vähemmän öljyä , ja rikkaimmat	käyvät	yhä rikkaammiksi .
126586188	satamatoimintoja	satama#toiminto|satama#toiminta	satama#toiminta	Tarkoitan sitä , että koska Kansainvälisen työjärjestön ( ILO ) yleissopimuksen nro 137 , joka koskee	satamatoimintoja	, ja nro 152 , joka koskee kyseisiin satamatoimintoihin liittyviä työoloja , sekä EU:n direktiivin , sellaisena kuin se on nykyisessä muodossaan , välillä on ristiriita , ihmettelen , olemmeko menneet asioiden edelle .
126586197	satamatoimintoihin	satama#toiminto|satama#toiminta	satama#toiminta	Tarkoitan sitä , että koska Kansainvälisen työjärjestön ( ILO ) yleissopimuksen nro 137 , joka koskee satamatoimintoja , ja nro 152 , joka koskee kyseisiin	satamatoimintoihin	liittyviä työoloja , sekä EU:n direktiivin , sellaisena kuin se on nykyisessä muodossaan , välillä on ristiriita , ihmettelen , olemmeko menneet asioiden edelle .
58835185	satamatoimintoihin	satama#toiminto|satama#toiminta	satama#toiminta	joulukuuta 7 000 eurooppalaista kalastajaa menettää työpaikkansa , 477 yhteisön alusta jää satamiin , 10 000 työpaikkaa säilyke- ja jalostusteollisuudessa on vaarassa ja monet tuhannet muut markkinoille saattamiseen ja	satamatoimintoihin	liittyvät työpaikat ovat myös vaarassa .
75544192	satamatoimintoja	satama#toiminto|satama#toiminta	satama#toiminta	Kolmas seikka koskee	satamatoimintoja	.
75557398	satamatoimintojen	satama#toiminto|satama#toiminta	satama#toiminta	Pitää siis nopeasti ryhtyä toimenpiteisiin	satamatoimintojen	tehostamiseksi ja satamassa kuluvan odotusajan vähentämiseksi .
28933687	kertoja	kerta|kerto	kerta	On hyvä muistaa , että muutama kuukausi sitten tässä salissa estettiin vain vaivoin mietintö , jolla haluttiin saada aikaan Alankomaiden mallin mukainen pitkälle viety salliva käytäntö jopa sellaisille huumeille , jotka ovat kymmeniä	kertoja	vaarallisempia kuin tänään keskustelun aiheena olleet synteettiset huumeet .
134117217	kertoja	kerta|kerto	kerta	Arvoisa puhemies , puhun jälleen kerran Euroopan parlamentissa arkaluonteisesta asiasta , josta sekä minä että muut jäsenet olemme puhuneet muulloinkin ja joka on komission jäsenelle Barnierille hyvin tuttu aihe varsinkin siksi , että hän on keskustellut siitä kanssamme lukemattomia	kertoja	.
227071097	kertoja	kerta|kerto	kerta	Se on maa , jonka on vielä määritettävä rajansa , käsiteltävä kysymystä , jonka olemme kuulleet mainittavan useita	kertoja	, konflikteista Abyein alueella , kysymystä öljyputkesta , joka on tärkein asia tässä maassa , ja myös kansainvälisen apujärjestelmän kysymystä .
220137671	kertoja	kerta|kerto	kerta	Sam Rainsy on erotettu kansalliskokouksen edustajainhuoneesta , häneltä on riistetty parlamentaarinen koskemattomuus tähän mennessä kolmesti , hänet on yritetty murhata lukuisia	kertoja	ja kymmeniä hänen kannattajiaan on murhattu .
7730723	kertoja	kerta|kerto	kerta	Kehitys- ja yhteistyövaliokunnassa ja kalatalousvaliokunnassa on useita	kertoja	todettu , että tämä ei ole paras tapa saavuttaa tuloksia , joiden oletetaan perustuvan paitsi Euroopan unionin ja sen jäsenvaltioiden kaupallisiin intresseihin myös asianosaisten ihmisten kaupallisiin intresseihin .
102863935	valoista	valo|vala	valo	Hyvät jäsenet , neuvoston , komission ja parlamentin tällä alalla suorittamien toimien loppusaldon voi luonnehtia muodostuvan	valoista	ja varjoista .
113912627	valoilla	valo|vala	valo	Tarkistus 6 ilmaisee huolemme huomiovalojen pakollisesta käyttämisestä koko unionin alueella , sillä se myönteinen merkitys , joka	valoilla	nykyään on riskialtteimmille tienkäyttäjille eli motoristeille ja pyöräilijöille , häviäisi .
24574375	valoilla	valo|vala	valo	Skandinavian maissa se voi toisenlaisten valaistusolojen vuoksi olla paikallaan , mutta mitä tekee auton	valoilla	kesällä Espanjassa ?
56705648	valojen	valo|vala	valo	Minusta on melko epämiellyttävää , että Ranskan lainsäädännössä kiinnitetään selvästi valtavasti huomiota mahdottomien käytävien ,	valojen	ja portaikkojen taiteellisiin tekijänoikeuksiin mutta selvästikään ei energian säästämiseen , kun taas samalla minun kotimaassani kolmasosa uusista asunnoista on varustettu aurinkopaneeleilla .
176090264	valojen	valo|vala	valo	Kukaan ei yksinkertaisesti sanottuna halua	valojen	sammuvan lastensa kodeissa .
4815542	Kielien	Kieli|Kiel	Kieli		Kielien	moninaisuus kuuluu Euroopan unionin rikkaaseen perintöön ja yhteisöillä on oltava oikeus ilmaista itseään kulttuurisesti ja niiden tulee saada käyttää tätä oikeutta eurooppalaisessa suojeluksessa .
74846017	Kielien	Kieli|Kiel	Kieli		Kielien	osalta , ja nyt vastaan jäsen De Clerqin esittämään kysymykseen , jos olisimme noudattaneet Luxemburgin yleissopimusta vuodelta 1989 , joka merkitsi sitä , että kaikki patentit oli käännettävä 11 kielelle , pelkästään käännöskustannukset olisivat olleet keskimäärin 17 000 euroa , kun taas komission nyt ehdottamassa järjestelmässä kustannukset ovat 2 000 euroa .
34592599	työvuosi	työ#vuosi|työ#vuo	työ#vuosi	Ensimmäisen kysymyksen osalta on tärkeää palauttaa mieleen , että vuosi 1996 oli Euroopan oikeusasiamiehen ensimmäinen kokonainen	työvuosi	.
144542981	rankaisemalla	rangaista|rankaista	rangaista	On myös turha kuvitella , että solidaarisuutta synnytetään ottamalla käyttöön uusia veroja eli	rankaisemalla	taloudellisesti niitä , joiden on tarkoitus tarjota apua .
137731446	rankaisemiseensa	rangaista|rankaista	rangaista	Yhteisön rikosoikeusjärjestelmässä on aina keskitytty rikoksentekijöihin ja heidän	rankaisemiseensa	tehdyn rikoksen perusteella .
200065771	rankaisematta	rangaista|rankaista	rangaista	Meidän on vaadittava , että kansainvälinen tutkimuskomissio tekee perinpohjaisen selvityksen tapahtumista ja etteivät tehdyt rikokset jää	rankaisematta	.
218590284	rankaisematta	rangaista|rankaista	rangaista	Olemme pääasiassa huolissamme siitä , että Yhdysvallat on käyttänyt hajota ja hallitse -strategiaa , ilmeisesti	rankaisematta	.
52700231	rankaisematta	rangaista|rankaista	rangaista	Viesti , joka on tästä parlamentista lähetettävä ulos , on kuitenkin se , että riippumatta poliittisesta kannasta tällaiset väkivallanteot eivät voi jäädä	rankaisematta	.
168319860	kallisarvoisin	kallis#arvoisa|kallis#arvoinen	kallis#arvoinen	Arvoisa puhemies , arvoisa komission jäsen , hyvät kollegat , irakilaiset veljet ja siskot , aluksi haluan muistaa kaikkia niitä , joilta on riistetty heidän	kallisarvoisin	omaisuutensa heidän etnisen tai uskonnollisen alkuperänsä vuoksi , todellisen tai oletetun vakaumuksensa vuoksi tai siksi , että he ovat osoittaneet demokraattista rohkeutta ja kansallishenkeä .
210883403	kallisarvoisin	kallis#arvoisa|kallis#arvoinen	kallis#arvoinen	Siinä ihmisiltä riistetään heidän	kallisarvoisin	asiansa .
41331607	kallisarvoisinta	kallis#arvoisa|kallis#arvoinen	kallis#arvoinen	Niinpä , koska on kannustettava pienten ja keskisuurten yritysten koulutusta , eikö olekin soveliasta pitää monilapsista perhettä pienenä esi- ja jatkuvan opetuksen yrityksenä , jossa niin sanotusti ” epäaktiivinen ” äiti johtaa ja järjestää tämän pienen yhteisön elämää ja ansaitsee arvonantoa ja korvausta aivan kuin oikeatkin yritysjohtajat , koska hän rikastaa määrällisesti ja laadullisesti maan	kallisarvoisinta	pääomaa :
155070384	matoissa	matto|mata	matto	PFOS -yhdisteiden ongelmana ei kuitenkaan ole aineen käyttö mainituilla aloilla vaan se , että sitä on edelleen vanhoissa tekstiileissä , kuten	matoissa	ja vaatteissa , joiden kautta ainetta vapautuu ympäristöön .
95072497	matoissa	matto|mata	matto	Oikeutetusti näissä	matoissa	on laatumerkki , joka kertoo , ettei niiden valmistuksessa ole käytetty lapsityövoimaa .
50033225	tulkkikoppien	tulkki#koppi|tulkki#koppa	tulkki#koppi	Arvoisa puhemies , arvoisa komissaari , hyvät naiset ja herrat , eikö olisi kohteliaampaa kääntyä	tulkkikoppien	puoleen , sillä minusta näyttää siltä , että siellä on paljon enemmän ihmisiä kuin tässä istuntosalissa .
3746649	veroilta	vero|verka	vero	Valtioita , Euroopan yhteisöä petetään , koska verotuloja ja maksuja jää saamatta , mutta myös tavallisia kauppiaita , jotka maksavat normaalisti veronsa ja joiden siksi täytyy maksaa myös enemmän veroa , koska nämä petosten tekijät säästyvät näiltä	veroilta	.
76296772	veroilta	vero|verka	vero	Välillä syy on vieritettävä niiden yksittäisten ihmisten harteille , jotka tekevät pimeää työtä välttyäkseen	veroilta	.
51278006	veroille	vero|verka	vero	Parlamentin lähestymistavan osalta toivon , että me äänestämme ” kyllä ” uusille	veroille	, mutta ” ei ” lisäveroille .
46612461	veroille	vero|verka	vero	Me sanomme parlamentissa ” kyllä ” uusille	veroille	mutta ” ei ” verotuksen lisäämiselle .
128637651	veroilleen	vero|verka	vero	Heillä on oikeus saada suojaa	veroilleen	, mutta veronmaksajia ja heidän etujaan voidaan kuitenkin parhaiten suojella kansallisesti .
31594735	satojen	sato|sata	sata	Komission oikeudellinen neuvonantaja sanoi meille , että komissiolla oli käytössään ainoastaan viisi sen näkemystä puolustavaa asianajajaa vieläpä monikansallisten yritysten tukeman Yhdysvaltain hallituksen käytössä olevien	satojen	asianajajien armeijaa vastaan .
132182800	satojen	sato|sata	sata	Jos tällöin ei sovelleta markkinoita ja maataloustuotteiden jakelua edistävää aktiivista politiikkaa , passiivisuudesta ja	satojen	menettämisestä aiheutuu hirvittäviä vahinkoja .
119621816	satojen	sato|sata	sata	Näin jäsenvaltiot kykenevät pitämään kirjaa syntyvien	satojen	viljelypaikoista .
210130680	satojen	sato|sata	sata	Olen itse käynyt paikassa nimeltä Sderot - ja tekin olette tainnut käydä siellä , arvoista puhemies - joka on ollut Hamasin taistelijoiden ampumien useiden	satojen	ohjusten kohde , kuten Hannu Takkula juuri totesi .
4050255	satojen	sato|sata	sata	Paitsi että	satojen	pakkotuhoaminen on pitkällä aikavälillä kyseenalaista , tällainen ehdollinen tuhoaminen aiheuttaa myös vakavia yhteiskunnallista levottomuuksia Bolivian ja Kolumbian kaltaisissa maissa .
83551976	mieluisinta	mieluinen|mieluisa	mieluinen	Sen sijasta hän palveli kovaäänisesti	mieluisinta	kohderyhmäänsä eli tiedotusvälineitä .
131967383	mieluisin	mieluinen|mieluisa	mieluinen	Parlamentti on ollut asiassa hyvin erimielinen , ja eri ryhmillä on ollut mahdollisuus ilmoittaa itselleen	mieluisin	ratkaisuvaihtoehto tarjolla olevien joukosta .
203090317	mieluisin	mieluinen|mieluisa	mieluinen	Me kaikki olemme samaa mieltä siitä , että tämä on mitä	mieluisin	kehityssuunta .
133019157	mieluisille	mieluinen|mieluisa	mieluinen	Neuvosto vastasi niet , ja näyttää siltä , että olette esittäneet tarkistuksen , jonka ansiosta emme enää tiedä , kuka aikoo jakaa rahaa teille niin kovin	mieluisille	eurooppalaisille poliittisille puolueille .
93293271	mieluisinta	mieluinen|mieluisa	mieluinen	Yritysten kannalta olisi	mieluisinta	, jos maantieliikenteen kuljettajat olisivat käytettävissä kaikkina vuorokauden aikoina viikon jokaisena päivänä .
222228543	vakaisiin	vakainen|vakaa	vakaa	kaikki nämä tukitoiminnot yhdistettynä kantelijoiden osalta saatuihin	vakaisiin	tuloksiin johtivat oikeusasiamiehen työn medianäkyvyyden 85 prosentin kasvuun .
57384463	vakaisiin	vakainen|vakaa	vakaa	Ja tämä sopimus , jonka solmimisen hyväksymme , vahvistaa juuri sopivalla hetkellä lopullista siirtymistä demokratiaan ja taloudellisesti ja yhteiskunnallisesti	vakaisiin	oloihin , joihin Etelä-Afrikan tasavalta on pyrkinyt jo joidenkin vuosien ajan .
41233709	vakaisiin	vakainen|vakaa	vakaa	Liittyminen	vakaisiin	Euroopan unionin turvallisuusrakenteisiin ja myös NATOon voivat estää uusien konfliktien puhkeamisen .
90466604	vakaisiin	vakainen|vakaa	vakaa	Tärkeintä on kuitenkin poliittinen vakaus , sillä vain	vakaisiin	oloihin perustetaan yrityksiä .
175260114	vakaisiin	vakainen|vakaa	vakaa	Kiitän teitä ja toivon , että tämä keskustelu johtaa EU:n romanipolitiikkaa parantaviin	vakaisiin	ja konkreettisiin päätöksiin .
154168805	kriisivuosi	kriisi#vuo|kriisi#vuosi	kriisi#vuosi	Se on ollut oikea	kriisivuosi	.
75546180	lakoista	lakka|lakko	lakko	lisäksi on myöhästymisten ja peruutusten riskit , jotka johtuvat säästä tai teknisistä ongelmista tai	lakoista	, joilla saaria silloin tällöin ikään kuin pidetään panttivankeina .
3087411	lakkoja	lakka|lakko	lakko	Se , mitä tapahtui Portugalissa Setúbalissa , ansaitsi armeliaan päätöksen ilman seurauksia , ja se , mitä Belgiassa tapahtuu , herättää voimakasta vastustusta , solidaarisuutta , mielenosoituksia ja	lakkoja	.
137028241	lakkojen	lakka|lakko	lakka	Muutamilla näistä tarkistuksista ( tarkistuksilla 10 , 16 ja 26) pyritään korostamaan , ettei nyt käsiteltävällä ehdotuksella rajoiteta tai estetä yhteisön ja jäsenvaltioiden toimenpiteitä , joiden tarkoituksena on työntekijöiden terveyden suojeleminen altistumiselta maalien ja	lakkojen	sisältämille liuottimille .
91844805	lakkoja	lakka|lakko	lakko	Juuri niissä maissa , joissa osallistuminen on viety pitkälle , kuten Saksassa , on vähemmän riitoja ja tuskin lainkaan	lakkoja	talouden rakenteellisten muutosten yhteydessä .
126389375	lakkoja	lakka|lakko	lakko	Katsomme myös , että maan kriisi , johon liittyy pääasiassa	lakkoja	ja öljyteollisuuteen kohdistuvista boikotointitoimia , on johtanut epävakauteen , mikä ei ole pelkkää sattumaa .
19198045	koppien	koppi|koppa	koppi	Hän toteaa , ettei komissio ole unionin laajentumisen kielellisten ongelmien yhteydessä huomioinut suorien kustannusten eli hallintohenkilökunnan , kielenkääntäjien jne. rekrytoinnin lisäksi infrastruktuurin , työtilojen , istuntosalien	koppien	jne. kustannuksia .
9496108	pakoista	pakko|pakka	pakko	Olen kuitenkin käytettyjä tekniikoita vastaan , sillä niissä sekoittuvat lajit ja ne uhkaavat luoda ennakkotapauksen , jota voitaisiin käyttää riippuen finanssipoliittisista	pakoista	.
189200127	Europako	Euro|Europa	Europa	Eskerrik asko jaun-andreok zuen laguntzagatik	Europako	hizkuntza guztien alde .
58277647	Rossin	Rossi|Ross	Rossi	Me haluamme , yhdessä Ernesto	Rossin	ja Altiero Spinellin kanssa , federalistisen , oikeuksien , vapauksien ja demokratian Euroopan yhdysvallat !
